key,english,es,status
"app_description","Invitation and user manager for Jellyfin","Gestor de invitaciones y usuarios para Jellyfin","ok"
"automation_add","Add","Agregar","ok"
"automation_col_bitrate","Bitrate (kbps)","Columna bitrate","ok"
"automation_col_delete_days","Delete after (days)","Columna eliminar dias","ok"
"automation_col_disable_days","Disable after (days)","Columna desactivar dias","ok"
"automation_col_download","Downloads","Columna descarga","ok"
"automation_col_group","Group","Columna grupo","ok"
"automation_col_id","ID","Columna id","ok"
"automation_col_last_run","Last run","Columna ultima ejecucion","ok"
"automation_col_ldap_dn_optional","LDAP DN (optional)","Columna ldap dn opcional","ok"
"automation_col_name","Name","Columna nombre","ok"
"automation_col_payload","Payload","Columna payload","ok"
"automation_col_preset_target","Target preset","Columna preajuste objetivo","ok"
"automation_col_remote","Remote access","Columna remoto","ok"
"automation_col_schedule","Schedule","Columna programacion","ok"
"automation_col_sessions","Sessions","Columna sesiones","ok"
"automation_col_source","Source","Columna origen","ok"
"automation_col_type","Type","Columna tipo","ok"
"automation_create","Create","Crear","ok"
"automation_delete","Delete","Eliminar","ok"
"automation_disable","Disable","Desactivar","ok"
"automation_enable","Enable","Activar","ok"
"automation_error_group_mappings","Unable to load group mappings.","Error grupo mapeos","ok"
"automation_error_presets","Unable to load presets.","Error presets","ok"
"automation_error_tasks","Unable to load tasks.","Error tareas","ok"
"automation_group_mappings_desc","Map LDAP or application groups to Jellyfin presets.","Asocia grupos a un preajuste de Jellyfin.","ok"
"automation_group_mappings_title","Group mappings","Asignaciones de grupos","ok"
"automation_guidance_desc","Start with Jellyfin access presets, attach them to groups, then schedule the recurring jobs that keep everything in sync.","Empieza con los preajustes de acceso de Jellyfin, asÃ­gnalos a grupos y programa despuÃ©s las tareas recurrentes que mantienen todo sincronizado.","ok"
"automation_guidance_title","Keep presets, groups, and schedules aligned.","MantÃ©n alineados los preajustes, los grupos y la planificaciÃ³n.","ok"
"automation_kicker","Automation control room","Centro de control de automatizaciÃ³n","ok"
"automation_mappings_saved","Group mappings saved.","Mapeos guardado","ok"
"automation_new_preset","New preset","Nuevo preajuste","ok"
"automation_no_group_mappings","No group mappings configured.","Sin grupo mapeos","ok"
"automation_no_presets","No presets configured.","Sin presets","ok"
"automation_no_tasks","No scheduled tasks.","Sin tareas","ok"
"automation_presets_desc","Define the reusable Jellyfin access baseline that can be applied manually or through group mappings.","Define la base reutilizable de acceso a Jellyfin para aplicarla manualmente o mediante asignaciones de grupo.","ok"
"automation_presets_saved","Presets saved.","Presets guardado","ok"
"automation_presets_title","Jellyfin presets","Preajustes","ok"
"automation_run_now","Run now","Ejecucion ahora","ok"
"automation_save","Save","Guardar","ok"
"automation_save_mappings_failed","Unable to save group mappings.","Guardar mapeos fallido","ok"
"automation_save_presets_failed","Unable to save presets.","Guardar presets fallido","ok"
"automation_select_preset","Select a preset","Seleccionar preajuste","ok"
"automation_subheading","Manage presets, mappings, and scheduled tasks.","Subtitulo","ok"
"automation_task_builder_desc","Use clear names and a stable hour/minute so the job remains easy to audit later.","Usa nombres claros y una hora/minuto estable para que la tarea siga siendo fÃ¡cil de auditar despuÃ©s.","ok"
"automation_task_builder_title","Build a scheduled task","Crear una tarea programada","ok"
"automation_task_create_failed","Unable to create task.","Tarea crear fallido","ok"
"automation_task_created","Task created.","Tarea creado","ok"
"automation_task_delete_confirm","Delete this task?","Tarea eliminar confirmar","ok"
"automation_task_delete_failed","Unable to delete task.","Tarea eliminar fallido","ok"
"automation_task_deleted","Task deleted.","Tarea eliminado","ok"
"automation_task_enabled","Enabled","Tarea activado","ok"
"automation_task_hour_placeholder","Hour (0-23)","Tarea hora placeholder","ok"
"automation_task_minute_placeholder","Minute (0-59)","Tarea minuto placeholder","ok"
"automation_task_name_placeholder","Task name","Tarea nombre placeholder","ok"
"automation_task_payload_empty","No payload","Sin carga","ok"
"automation_task_payload_placeholder","JSON payload (optional)","Tarea payload placeholder","ok"
"automation_task_payload_ready","Payload ready","Carga lista","ok"
"automation_task_preview_empty","Fill the form to preview the schedule and execution state.","Completa el formulario para previsualizar la programaciÃ³n y el estado de ejecuciÃ³n.","ok"
"automation_task_preview_title","Task preview","Vista previa de la tarea","ok"
"automation_task_run_failed","Task execution failed.","Tarea ejecucion fallido","ok"
"automation_task_run_success","Task started.","Tarea ejecucion exito","ok"
"automation_task_update_failed","Unable to update task.","Tarea actualizacion fallido","ok"
"automation_tasks_desc","Create recurring jobs, then verify the schedule and payload before saving.","Crea tareas recurrentes y revisa la programaciÃ³n y la carga antes de guardar.","ok"
"automation_tasks_title","Scheduled tasks","Tareas programadas","ok"
"automation_type_cleanup_resets_desc","Remove expired password reset requests to keep the recovery flow clean.","Elimina las solicitudes de restablecimiento de contraseÃ±a caducadas para mantener limpio el flujo de recuperaciÃ³n.","ok"
"automation_type_create_backup_desc","Create a fresh backup snapshot for restore or audit purposes.","Crea una copia de seguridad reciente para restauraciÃ³n o auditorÃ­a.","ok"
"automation_type_sync_users_desc","Sync local users with Jellyfin or directory state to keep access consistent.","Sincroniza los usuarios locales con Jellyfin o con el estado del directorio para mantener el acceso coherente.","ok"
"back_to_login","Back to login","Volver al inicio de sesion","ok"
"base_language_label","Language","Idioma","ok"
"btn_save","Save","Guardar","ok"
"cancel","Cancel","Cancelar","ok"
"col_actions","Actions","Acciones","ok"
"col_created_at","Date","Fecha","ok"
"col_email","Email","Correo","ok"
"col_invited_by","Invited by","Invitado por","ok"
"col_jellyfin","Jellyfin","Jellyfin","untranslated"
"col_status","Status","Estado","ok"
"col_username","User","Usuario","ok"
"common_bad_request","Invalid request","Solicitud no valida","ok"
"common_next","Next","Siguiente","ok"
"common_previous","Previous","Anterior","ok"
"common_server_error","Server error","Error del servidor","ok"
"dashboard_heading","Dashboard","Panel de control","ok"
"dashboard_intro_title","Jellyfin Access Manager","Administrador de acceso Jellyfin","ok"
"dashboard_my_account_title","Account","Mi cuenta","ok"
"dashboard_no_users","No users yet","AÃºn no hay usuarios","ok"
"dashboard_open_my_account","Open My Account","Abrir mi cuenta","ok"
"dashboard_panel_invites_title","Invitations","Invitaciones","ok"
"dashboard_panel_settings_title","Settings","Ajustes","ok"
"dashboard_panel_users_title","Users","Usuarios","ok"
"dashboard_recent_users","Recent users","Usuarios recientes","ok"
"dashboard_stats_title","Pulse","Pulso","ok"
"dashboard_title","Dashboard","Panel de control","ok"
"dashboard_welcome","Welcome","Bienvenido","ok"
"failure","Failure","Error","ok"
"field_display_name","Display name","Nombre visible","ok"
"field_display_name_placeholder","E.g. John Doe","Ej.: John Doe","ok"
"field_email","Email","Correo electronico","ok"
"field_email_placeholder","E.g. john@example.com","Ej.: john@example.com","ok"
"field_email_required","Email","Correo electronico","ok"
"field_identifier","Email or username","Correo o nombre de usuario","ok"
"field_identifier_placeholder","E.g. john_doe or john@example.com","Ej.: john_doe o john@example.com","ok"
"field_new_password","New password","Nueva contrasena","ok"
"field_password","Password","Contrasena","ok"
"field_password_confirm","Confirm password","Confirmar contrasena","ok"
"field_password_confirm_placeholder","Re-enter your password","Vuelve a escribir tu contrasena","ok"
"field_password_placeholder","Minimum 8 characters","Minimo 8 caracteres","ok"
"field_username","Username","Nombre de usuario","ok"
"field_username_help","3-32 characters: letters, numbers, dashes, underscores","3-32 caracteres: letras, numeros, guiones y guiones bajos","ok"
"field_username_placeholder","E.g. john_doe","Ej.: john_doe","ok"
"i18n_report_back_settings","Back to settings","Volver a configuracion","ok"
"i18n_report_col_fallback","Fallback values","Valores de reserva","ok"
"i18n_report_col_locale","Locale","Idioma","ok"
"i18n_report_col_missing_base","Missing vs base","Faltantes respecto a la base","ok"
"i18n_report_col_missing_template","Missing template keys","Claves de plantilla faltantes","ok"
"i18n_report_col_placeholder","Placeholder mismatches","Marcadores incoherentes","ok"
"i18n_report_col_total_keys","Total keys","Claves totales","ok"
"i18n_report_intro","Checks template key coverage, placeholder consistency, and fallback values by locale.","Comprueba la cobertura de claves de plantillas, la coherencia de marcadores y los valores de reserva por idioma.","ok"
"i18n_report_load_error","Unable to load the i18n report.","No se pudo cargar el informe i18n.","ok"
"i18n_report_no_data","No data.","Sin datos.","ok"
"i18n_report_title","i18n Report","Informe i18n","ok"
"invitations_badge_active","Active","Activa","ok"
"invitations_badge_expired","Expired","Caducada","ok"
"invitations_col_email","Delivery","Entrega","ok"
"invitations_col_link_code","Invitation link","Enlace de invitacion","ok"
"invitations_col_link_expiry","Link expiry","Caducidad del enlace","ok"
"invitations_col_profile_expiry","Account policy","Politica de la cuenta","ok"
"invitations_conversion_rate","Conversion rate","Tasa de conversion","ok"
"invitations_conversions","Conversions","Conversiones","ok"
"invitations_copy","Copy","Copiar","ok"
"invitations_copy_full_link","Copy full link","Copiar enlace completo","ok"
"invitations_copy_unavailable","Clipboard access is unavailable","El portapapeles no esta disponible","ok"
"invitations_create_desc","Generate a reusable signup link, prefill account rules, and optionally send it by email.","Genere un enlace de registro reutilizable, prepare las reglas de la cuenta y envielo por correo si hace falta.","ok"
"invitations_create_link","Create invitation","Crear invitacion","ok"
"invitations_create_title","Invitation flow","Flujo de invitacion","ok"
"invitations_created","Invitation created","Invitacion creada","ok"
"invitations_default_policy","Default policy","Politica predeterminada","ok"
"invitations_delete","Delete","Eliminar","ok"
"invitations_delete_after_days","Delete account after {n} days","Eliminar la cuenta despues de {n} dias","ok"
"invitations_delete_desc","This invitation will be removed permanently. Existing users created from it are not affected.","Esta invitacion se eliminara de forma permanente. Los usuarios ya creados a partir de ella no se veran afectados.","ok"
"invitations_delete_title","Delete invitation","Eliminar invitacion","ok"
"invitations_deleted","Invitation deleted","Invitacion eliminada","ok"
"invitations_disable_after_days","Disable account after {n} days","Desactivar la cuenta despues de {n} dias","ok"
"invitations_email_manual","Email delivery","Entrega por correo","ok"
"invitations_error_loading","Unable to load invitations","No se pudieron cargar las invitaciones","ok"
"invitations_expires_on","Expires on {date}","Caduca el {date}","ok"
"invitations_forced_username","Reserved username","Nombre de usuario reservado","ok"
"invitations_forced_username_help","Optional. Lock the signup to a single username when you need a pre-assigned account.","Opcional. Limite el registro a un solo nombre de usuario cuando la cuenta ya este asignada.","ok"
"invitations_forced_username_placeholder","Leave blank to let the user choose","Dejelo vacio para que el usuario elija","ok"
"invitations_group_default","Default group","Grupo predeterminado","ok"
"invitations_group_prefix","Group: {group}","Grupo: {group}","ok"
"invitations_invalid_max_uses","Your current policy allows between 1 and {n} uses per link.","Su politica actual permite entre 1 y {n} usos por enlace.","ok"
"invitations_invalid_user_expiry","Choose a relative or absolute expiry before creating the invitation.","Elija una expiracion relativa o absoluta antes de crear la invitacion.","ok"
"invitations_invite_option_enabled_help","The invited account will be allowed to create invitations after signup.","La cuenta invitada podra crear invitaciones despues del registro.","ok"
"invitations_invite_option_policy_limited","Your role cannot grant invite rights on new accounts.","Su rol no puede conceder permisos de invitacion a nuevas cuentas.","ok"
"invitations_last_link_label","Latest generated link","Ultimo enlace generado","ok"
"invitations_last_link_placeholder","The newest invitation URL will appear here","La URL de invitacion mas reciente aparecera aqui","ok"
"invitations_link_copied","Invitation link copied","Enlace de invitacion copiado","ok"
"invitations_link_expires_label","Link expiry","Caducidad del enlace","ok"
"invitations_link_help_default","Leave empty to keep the link valid until it is used or revoked.","Dejelo vacio para mantener el enlace valido hasta que se use o se revoque.","ok"
"invitations_link_help_limited","Your current policy recommends an expiry within the next {n} hours.","Su politica actual recomienda una expiracion dentro de las proximas {n} horas.","ok"
"invitations_links_active","Active links","Enlaces activos","ok"
"invitations_links_closed","Closed links","Enlaces cerrados","ok"
"invitations_links_created","Links created","Enlaces creados","ok"
"invitations_max_uses_label","Maximum uses","Numero maximo de usos","ok"
"invitations_new_invitation","New invitation","Nueva invitacion","ok"
"invitations_new_user_can_invite","Grant invite rights to the new account","Dar permisos de invitacion a la nueva cuenta","ok"
"invitations_no_link_to_copy","There is no invitation link to copy yet.","Todavia no hay ningun enlace de invitacion para copiar.","ok"
"invitations_no_planned_delete","No deletion planned","Sin eliminacion planificada","ok"
"invitations_none_active","No active invitations found.","No se encontraron invitaciones activas.","ok"
"invitations_policy_base_links","Base URL: {url}","URL base: {url}","ok"
"invitations_policy_expiry_locked","User expiry is locked by the active invitation policy.","La caducidad del usuario esta bloqueada por la politica de invitacion activa.","ok"
"invitations_policy_grant_locked","Invite rights are locked by the active invitation policy.","Los permisos de invitacion estan bloqueados por la politica de invitacion activa.","ok"
"invitations_policy_loading","Loading invitation policy...","Cargando politica de invitacion...","ok"
"invitations_policy_max_ttl","Max link lifetime: {n}h","Vida maxima del enlace: {n}h","ok"
"invitations_policy_max_uses","Max uses per link: {n}","Usos maximos por enlace: {n}","ok"
"invitations_policy_quota_day","Daily quota: {n}","Cuota diaria: {n}","ok"
"invitations_policy_quota_month","Monthly quota: {n}","Cuota mensual: {n}","ok"
"invitations_policy_quota_week","Weekly quota: {n}","Cuota semanal: {n}","ok"
"invitations_rate","Rate","Tasa","ok"
"invitations_role_can_invite","can invite others","puede invitar","ok"
"invitations_role_standard","standard account","cuenta estandar","ok"
"invitations_section_link_settings","Link settings","Reglas del enlace","ok"
"invitations_section_smtp_notification","Email delivery","Entrega por correo","ok"
"invitations_section_user_profile","Future account rules","Reglas de la futura cuenta","ok"
"invitations_send_to_email_help","Optional. If SMTP is configured, JellyGate sends the invitation immediately.","Opcional. Si SMTP esta configurado, JellyGate enviara la invitacion inmediatamente.","ok"
"invitations_send_to_email_label","Send invitation to","Enviar invitacion a","ok"
"invitations_sponsor","Sponsor","Patrocinador","ok"
"invitations_sponsor_dashboard","Sponsor activity","Actividad de patrocinadores","ok"
"invitations_sponsor_no_data","No sponsor activity available yet.","Todavia no hay actividad de patrocinadores.","ok"
"invitations_stats_error","Unable to load sponsor statistics","No se pudieron cargar las estadisticas de patrocinadores","ok"
"invitations_stats_loading","Loading sponsor statistics...","Cargando estadisticas de patrocinadores...","ok"
"invitations_stats_updated_at","Updated {at}","Actualizado {at}","ok"
"invitations_subheading","Create invitation links, monitor sponsor activity, and keep onboarding rules consistent.","Cree enlaces de invitacion, supervise la actividad de patrocinio y mantenga reglas de acceso coherentes.","ok"
"invitations_unknown_error","An unexpected error occurred","Se produjo un error inesperado","ok"
"invitations_unknown_sponsor","(unknown)","(desconocido)","ok"
"invitations_unlimited","Unlimited","Ilimitado","ok"
"invitations_user_expiry_absolute","Absolute account expiry","Caducidad absoluta de la cuenta","ok"
"invitations_user_expiry_absolute_help","Optional. Set a fixed expiry date instead of a relative delay.","Opcional. Defina una fecha fija de caducidad en lugar de un retraso relativo.","ok"
"invitations_user_expiry_days_help","Apply a relative expiry window once the invited account is created.","Aplique una ventana de expiracion relativa cuando se cree la cuenta invitada.","ok"
"invitations_user_expiry_enable","Set an expiry policy for the invited account","Definir una politica de caducidad para la cuenta invitada","ok"
"invitations_user_expiry_future","The absolute expiry must be in the future.","La fecha de caducidad absoluta debe estar en el futuro.","ok"
"invitations_uses","Uses","Usos","ok"
"invitations_uses_help_default","Use 0 for unlimited redemptions.","Use 0 para canjes ilimitados.","ok"
"invitations_uses_help_limited","Your current policy allows between 1 and {n} redemptions.","Su politica actual permite entre 1 y {n} usos.","ok"
"invite_error_config","Invitation configuration error","Error de configuracion de la invitacion","ok"
"invite_error_email_verification_unavailable","Email verification is enabled, but email sending is unavailable right now.","La verificacion por correo esta activada, pero el envio de correos no esta disponible en este momento.","ok"
"invite_error_invalid_or_expired","Invalid or expired invitation","Invitacion invalida o caducada","ok"
"invite_error_jellyfin_create","Error while creating the account (Jellyfin)","Error al crear la cuenta (Jellyfin)","ok"
"invite_error_ldap_create","Error while creating the account (LDAP)","Error al crear la cuenta (LDAP)","ok"
"invite_error_persist","Error while saving the account","Error al guardar la cuenta","ok"
"invite_footer","Powered by JellyGate","Impulsado por JellyGate","ok"
"invite_heading","Create your account","Crea tu cuenta","ok"
"invite_login_jellyfin","Sign in to Jellyfin","Iniciar sesion en Jellyfin","ok"
"invite_open_jellyseerr","Open Jellyseerr","Abrir Jellyseerr","ok"
"invite_open_jellytrack","Open jellytrack","Abrir jellytrack","ok"
"invite_quick_links","Quick links","Accesos rapidos","ok"
"invite_subheading","Fill in the form to join the media library","Completa el formulario para unirte a la biblioteca multimedia","ok"
"invite_submit","Create my account","Crear mi cuenta","ok"
"invite_success_hybrid","Welcome {username}! Your account was created in Jellyfin and in LDAP.","Bienvenido, {username}. Tu cuenta se creo en Jellyfin y en LDAP.","ok"
"invite_success_ldap_only","Welcome {username}! Your account was created in LDAP. Jellyfin access will use your LDAP integration.","Bienvenido, {username}. Tu cuenta se creo en LDAP. El acceso a Jellyfin utilizara tu integracion LDAP.","ok"
"invite_success_pending_verification","Check your email to confirm the creation of account {username}. Your account will be created only after this confirmation.","Revisa tu correo para confirmar la creacion de la cuenta {username}. La cuenta se creara solo despues de esta confirmacion.","ok"
"invite_title","Sign Up","Registro","ok"
"login_error_forbidden","You are not an administrator","No eres administrador","ok"
"login_error_invalid","Invalid credentials","Credenciales no vÃ¡lidas","ok"
"login_error_required","Enter both your username and password.","Introduce el nombre de usuario y la contraseÃ±a.","ok"
"login_forgot_password","Forgot password?","Has olvidado tu contrasena?","ok"
"login_jellyfin_desc","Media library access","Acceso a la biblioteca","ok"
"login_jellyseerr_desc","Browse and request content","Solicitar contenido","ok"
"login_jellytrack_desc","Playback statistics tracking","Estadísticas","ok"
"login_shortcuts","Shortcuts","Accesos rápidos","ok"
"login_subheading","Administration","Administracion","ok"
"login_submit","Sign in","Entrar","ok"
"login_title","Login","Inicio de sesion","ok"
"logs_col_action","Action","Accion","ok"
"logs_col_actor","Actor","Actor","untranslated"
"logs_col_details","Details","Detalles","ok"
"logs_col_target","Target","Objetivo","ok"
"logs_load_error","Unable to load audit logs","No se pudo cargar el registro de auditoria","ok"
"logs_loading","Loading audit logs...","Cargando registro de auditoria...","ok"
"logs_network_error","Network error while loading audit logs","Error de red al cargar el registro de auditoria","ok"
"logs_no_results","No audit events match the current filters.","Ningun evento de auditoria coincide con los filtros actuales.","ok"
"logs_no_results_short","No matching events","Sin eventos coincidentes","ok"
"logs_of_label","of","de","ok"
"logs_page_label","Page","Pagina","ok"
"logs_pagination_loading","Loading pagination...","Cargando paginacion...","ok"
"logs_per_page_suffix","per page","por pagina","ok"
"logs_search_placeholder","Search actions, actors, targets, details, or request IDs","Buscar acciones, actores, objetivos, detalles o request_id","ok"
"logs_system_actor","System","Sistema","ok"
"logs_total_label","Total","Total","untranslated"
"my_account_channel_discord","Discord","Discord","untranslated"
"my_account_channel_email","Email","Correo","ok"
"my_account_channel_optin","Delivery channels","Canales de entrega","ok"
"my_account_channel_telegram","Telegram","Telegram","untranslated"
"my_account_contact_help","Update contact information and notification preferences.","Actualice la información de contacto y las preferencias de notificación.","ok"
"my_account_default_server_lang","Use the server default language","Usar el idioma predeterminado del servidor","ok"
"my_account_edit_profile","Edit profile","Editar perfil","ok"
"my_account_email_pending_label","Pending email:","Correo pendiente:","ok"
"my_account_email_status_missing","No email configured","No hay correo configurado","ok"
"my_account_email_status_pending","Pending verification","Verificacion pendiente","ok"
"my_account_email_status_unverified","Verification required","Verificacion requerida","ok"
"my_account_email_status_verified","Verified","Verificado","ok"
"my_account_email_verification_help","Confirm this email address to receive account messages and recovery links.","Confirma este correo para recibir mensajes de la cuenta y enlaces de recuperacion.","ok"
"my_account_email_verification_label","Email verification","Verificacion del correo","ok"
