key,english,fr,status
"settings_ldap_mode_hybrid","Hybrid (LDAP + Jellyfin)","Hybride (LDAP + Jellyfin)","ok"
"settings_ldap_mode_ldap_only","LDAP only (no Jellyfin API user creation)","LDAP only (pas de creation API Jellyfin)","ok"
"settings_ldap_provision_mode","Provisioning mode","Mode de provisioning","ok"
"settings_ldap_skip_verify","Skip TLS certificate verification","Ignorer cert. TLS","ok"
"settings_ldap_test_connection_btn","Test LDAP connection","Tester connexion LDAP","ok"
"settings_ldap_test_credentials_required","Enter test username and password for Jellyfin LDAP plugin validation.","Renseigne utilisateur + mot de passe de test pour valider le plugin LDAP Jellyfin.","ok"
"settings_ldap_test_failed","Test failed","Test echoue","ok"
"settings_ldap_test_jellyfin_btn","Test Jellyfin login (LDAP plugin)","Tester login Jellyfin (plugin LDAP)","ok"
"settings_ldap_test_password","Test password","Mot de passe de test","ok"
"settings_ldap_test_running","Test in progress...","Test en cours...","ok"
"settings_ldap_test_success","Test succeeded","Test reussi","ok"
"settings_ldap_test_user_btn","Test user lookup","Tester recherche utilisateur","ok"
"settings_ldap_test_username","Test user identifier","Identifiant utilisateur de test","ok"
"settings_ldap_test_username_required","Enter a test user identifier.","Renseigne un identifiant utilisateur de test.","ok"
"settings_ldap_tests_desc","These tests do not save configuration. They validate LDAP connection, user lookup with the configured login attribute, then Jellyfin LDAP plugin authentication.","Ces tests n enregistrent pas la configuration. Ils valident la connexion LDAP, la recherche utilisateur avec l attribut de login configure, puis l authentification via le plugin LDAP de Jellyfin.","ok"
"settings_ldap_tests_title","LDAP tests and Jellyfin LDAP plugin","Tests LDAP et plugin Jellyfin LDAP","ok"
"settings_ldap_title","Active Directory / LDAP","Active Directory / LDAP","untranslated"
"settings_ldap_tls","LDAPS (TLS)","LDAPS (TLS)","untranslated"
"settings_ldap_user_object_class","User objectClass","objectClass utilisateur","ok"
"settings_ldap_user_object_class_help","Set to auto for detection, or force values like user, person, inetOrgPerson, posixAccount.","Laissez auto pour detection, ou forcez une valeur comme user, person, inetOrgPerson, posixAccount.","ok"
"settings_ldap_user_ou","User OU","OU utilisateurs","ok"
"settings_ldap_username_attr_ad","sAMAccountName (Active Directory)","sAMAccountName (Active Directory)","untranslated"
"settings_ldap_username_attr_auto","Auto-detect (AD/OpenLDAP)","Auto-detection (AD/OpenLDAP)","ok"
"settings_ldap_username_attr_cn","cn (common name)","cn (nom commun)","ok"
"settings_ldap_username_attr_uid","uid (OpenLDAP / Synology)","uid (OpenLDAP / Synology)","untranslated"
"settings_ldap_username_attr_upn","userPrincipalName (UPN)","userPrincipalName (UPN)","untranslated"
"settings_ldap_username_attribute","User login attribute","Attribut de login utilisateur","ok"
"settings_ldap_username_attribute_help","Pick the LDAP attribute used to identify users (uid on Synology/OpenLDAP, sAMAccountName on Active Directory).","Choisissez l attribut LDAP utilise pour identifier les utilisateurs (uid sur Synology/OpenLDAP, sAMAccountName sur Active Directory).","ok"
"settings_loading","Loading...","Chargement...","ok"
"settings_matrix_access_token","Access token","Access Token","ok"
"settings_matrix_homeserver_url","Homeserver URL","Homeserver URL","untranslated"
"settings_matrix_room_id","Room ID","Room ID","untranslated"
"settings_open_jellyfin","Open Jellyfin","Ouvrir Jellyfin","ok"
"settings_open_jellygate_public","Open public JellyGate","Ouvrir JellyGate public","ok"
"settings_open_jellyseerr","Open Jellyseerr","Ouvrir Jellyseerr","ok"
"settings_open_jellytrack","Open jellytrack","Ouvrir jellytrack","ok"
"settings_overview_backup_desc","Plan backups, import archives, and prepare a safe restoration.","Planifiez les sauvegardes, importez des archives et preparez une restauration sure.","ok"
"settings_overview_desc","Move quickly between language defaults, identity, delivery channels, templates, and recovery workflows.","Passez rapidement entre la langue par defaut, l identite, les canaux d envoi, les modeles et la restauration.","ok"
"settings_overview_general_desc","Public URLs, default language, and invitation defaults.","URLs publiques, langue par defaut et regles de base des invitations.","ok"
"settings_overview_ldap_desc","Directory connection, provisioning mode, groups, and validation tests.","Connexion a l annuaire, mode de provisionnement, groupes et tests de validation.","ok"
"settings_overview_smtp_desc","Outgoing email transport used for invitations and password recovery.","Transport e-mail utilise pour les invitations et la recuperation de mot de passe.","ok"
"settings_overview_templates_desc","Edit every email scenario and preview the rendered message.","Modifiez chaque scenario e-mail et verifiez le rendu final.","ok"
"settings_overview_title","Service control","Centre de services","ok"
"settings_overview_webhooks_desc","Discord, Telegram, and Matrix notifications for registration activity.","Notifications Discord, Telegram et Matrix lors des nouvelles inscriptions.","ok"
"settings_password_digit_required","Digit required","Chiffre requis","ok"
"settings_password_lower_required","Lowercase required","Minuscule requise","ok"
"settings_password_special_required","Special character required","Caractere special requis","ok"
"settings_password_upper_required","Uppercase required","Majuscule requise","ok"
"settings_port","Port","Port","untranslated"
"settings_preset_fallback","Preset","Preset","untranslated"
"settings_preview_button","Preview","Apercu","ok"
"settings_preview_impossible","Preview unavailable","Apercu impossible","ok"
"settings_preview_loading","Loading preview...","Chargement de l apercu...","ok"
"settings_public_jellyfin_help","Used in buttons and email templates via","Utilisee dans les boutons et templates emails","ok"
"settings_public_jellyfin_url","Public Jellyfin URL","URL publique Jellyfin","ok"
"settings_public_jellygate_help","Used for invitation links and templates via","Utilisee pour les liens d invitation et les templates via","ok"
"settings_public_jellygate_url","Public JellyGate URL","URL publique JellyGate","ok"
"settings_public_jellyseerr_help","Available in templates via","Disponible dans les templates via","ok"
"settings_public_jellyseerr_url","Public Jellyseerr URL","URL publique Jellyseerr","ok"
"settings_public_jellytrack_help","Available in templates via","Disponible dans les templates via","ok"
"settings_public_jellytrack_url","Public jellytrack URL","URL publique jellytrack","ok"
"settings_quick_links","Quick links","Raccourcis rapides","ok"
"settings_save_error","Save failed","Erreur de sauvegarde","ok"
"settings_save_invite_profile","Save invitation profile","Sauvegarder profil invitation","ok"
"settings_save_ldap","Save LDAP settings","Sauvegarder LDAP","ok"
"settings_save_smtp","Save SMTP","Sauvegarder SMTP","ok"
"settings_save_templates","Save templates","Sauvegarder les modeles","ok"
"settings_save_webhooks","Save Webhooks","Sauvegarder Webhooks","ok"
"settings_saved","Settings saved","Configuration sauvegardee","ok"
"settings_smtp_desc","Configure email sending (invitations, password reset)","Configurez l envoi d e-mails pour les invitations et la reinitialisation de mot de passe","ok"
"settings_smtp_from","Sender address *","Adresse expediteur *","ok"
"settings_smtp_password","Password *","Mot de passe *","ok"
"settings_smtp_starttls","STARTTLS / TLS","STARTTLS / TLS","untranslated"
"settings_smtp_title","SMTP server","Serveur SMTP","ok"
"settings_smtp_username","Username *","Utilisateur *","ok"
"settings_subheading","Configure external services from this interface","Configurez les services externes depuis cette interface","ok"
"settings_tab_backup","Backups","Sauvegardes","ok"
"settings_tab_email_templates","Email Templates","Modeles e-mail","ok"
"settings_tab_general","General","General","untranslated"
"settings_tab_ldap","LDAP","LDAP","untranslated"
"settings_tab_smtp","SMTP","SMTP","untranslated"
"settings_tab_webhooks","Webhooks","Webhooks","untranslated"
"settings_telegram_bot_token","Bot token","Bot Token","ok"
"settings_telegram_chat_id","Chat ID","Chat ID","untranslated"
"settings_template_empty","Template is empty.","Le template est vide.","ok"
"settings_webhook_url","Webhook URL","Webhook URL","untranslated"
"settings_webhooks_desc","Receive notifications when a user registers","Recevez des notifications lorsqu un utilisateur s inscrit","ok"
"settings_webhooks_title","Webhook notifications","Notifications Webhooks","ok"
"settings_zero_no_extra_limit","0 = no extra limit.","0 = pas de limite supplementaire.","ok"
"settings_zero_unlimited","0 = unlimited.","0 = illimite.","ok"
"stat_active_users","Active","Actifs","ok"
"stat_banned_users","Banned","Bannis","ok"
"stat_invitations","Invitations","Invitations","untranslated"
"stat_total_users","Users","Utilisateurs","ok"
"status_active","Active","Actif","ok"
"status_banned","Banned","Banni","ok"
"status_inactive","Inactive","Inactif","ok"
"submitting","Creating account...","Creation du compte...","ok"
"success","Success","Succes","ok"
"users_action_activate","Activate account","Activer le compte","ok"
"users_action_activate_help","Re-enable the selected accounts without changing their other settings.","Reactive les comptes selectionnes sans modifier les autres parametres.","ok"
"users_action_apply_preset","Apply Jellyfin preset","Appliquer un preset Jellyfin","ok"
"users_action_apply_preset_help","Push a predefined Jellyfin policy preset to every selected account.","Applique un preset de politique Jellyfin a tous les comptes selectionnes.","ok"
"users_action_deactivate","Disable account","Desactiver le compte","ok"
"users_action_deactivate_help","Temporarily block access for the selected accounts.","Bloque temporairement l'acces des comptes selectionnes.","ok"
"users_action_delete","Delete account","Supprimer le compte","ok"
"users_action_delete_help","Permanently remove the selected accounts from every configured backend.","Supprime definitivement les comptes selectionnes sur tous les backends configures.","ok"
"users_action_jellyfin_policy","Adjust Jellyfin policy","Ajuster la politique Jellyfin","ok"
"users_action_jellyfin_policy_help","Override downloads, remote access, sessions, or bitrate limits in bulk.","Modifier en masse les options de telechargement, acces distant, sessions et debit.","ok"
"users_action_send_email","Send email","Envoyer un e-mail","ok"
"users_action_send_email_help","Write a one-off message and deliver it to the selected users.","Rediger un message ponctuel et l'envoyer aux utilisateurs selectionnes.","ok"
"users_action_send_password_reset","Send password reset","Envoyer un reset mot de passe","ok"
"users_action_send_password_reset_help","Trigger a password reset email for every selected account.","Declencher l'e-mail de reinitialisation pour tous les comptes selectionnes.","ok"
"users_action_set_expiry","Set access expiry","Definir l'expiration d'acces","ok"
"users_action_set_expiry_help","Define or clear the access expiration date on the selected users.","Definir ou supprimer la date d'expiration des comptes selectionnes.","ok"
"users_action_set_invite","Update invite rights","Mettre a jour le droit d'inviter","ok"
"users_action_set_invite_help","Grant or remove invitation rights on the selected accounts.","Activer ou retirer le droit d'inviter pour les comptes selectionnes.","ok"
"users_allow_invite","Can invite","Peut inviter","ok"
"users_apply","Apply","Appliquer","ok"
"users_bulk_action_failed","Bulk action failed","L'action en lot a echoue","ok"
"users_bulk_action_generic","Bulk action","Action en lot","ok"
"users_bulk_action_on","for","pour","ok"
"users_bulk_action_placeholder","Choose a bulk action","Choisir une action en lot","ok"
"users_bulk_assistant_desc","Select the right users first, then configure the action with as little rework as possible.","Selectionne les utilisateurs, choisis l'action, puis verifie les champs obligatoires.","ok"
"users_bulk_blocked_prefix","Blocked","Bloque","ok"
"users_bulk_choose_action","Choose an action","Choisis une action","ok"
"users_bulk_complete_required","Complete the required parameters","Complete les parametres obligatoires","ok"
"users_bulk_config_ready","Configuration looks valid","Configuration valide","ok"
"users_bulk_confirm_template","{action}`n`nTarget users: {count}`nConfirm execution?","{action}`n`nUtilisateurs cibles: {count}`nConfirmer l'execution ?","ok"
"users_bulk_desc","Select users, choose an action, then validate the required parameters before execution.","Selectionnez des utilisateurs, choisissez une action puis validez les parametres requis avant execution.","ok"
"users_bulk_done","Action completed: {success}/{total} success","Action terminee : {success}/{total} reussies","ok"
"users_bulk_email","Bulk email","E-mail en lot","ok"
"users_bulk_email_body","Message body","Corps du message","ok"
"users_bulk_email_open","Open the bulk email assistant","Ouvrir l'assistant d'e-mail en lot","ok"
"users_bulk_email_subject","Email subject","Sujet de l'e-mail","ok"
"users_bulk_email_variables","Available variables","Variables disponibles","ok"
"users_bulk_instructions","The assistant prevents incomplete actions before execution. Select users, choose the action, then finish the required fields.","L'assistant evite les actions incompletes. Selectionne les utilisateurs, choisis l'action, puis complete les champs requis.","ok"
"users_bulk_jellyfin_invalid","One or more Jellyfin policy values are invalid.","Un ou plusieurs parametres Jellyfin sont invalides.","ok"
"users_bulk_need_email_body","Enter both the email subject and message body.","Renseigne le sujet et le contenu du message.","ok"
"users_bulk_need_expiry","Set an expiry date or choose to clear the existing one.","Definis une date d'expiration ou choisis de supprimer l'existante.","ok"
"users_bulk_need_jellyfin_param","Change at least one Jellyfin policy setting.","Modifie au moins un parametre de politique Jellyfin.","ok"
"users_bulk_need_preset","Choose a Jellyfin preset before continuing.","Choisis un preset Jellyfin avant de continuer.","ok"
"users_bulk_no_extra_params","This action does not need extra parameters.","Cette action ne demande aucun parametre supplementaire.","ok"
"users_bulk_none","none","aucun","ok"
"users_bulk_ready_suffix","ready to apply","pret a appliquer","ok"
"users_bulk_select_one","Select at least one user.","Selectionne au moins un utilisateur.","ok"
"users_bulk_select_preset","Choose a preset","Choisir un preset","ok"
"users_bulk_selected_suffix","users selected","utilisateurs selectionnes","ok"
"users_bulk_step_action","Choose action","Choisir l'action","ok"
"users_bulk_step_select","Select users","Selectionner les utilisateurs","ok"
"users_bulk_step_verify","Validate config","Verifier la configuration","ok"
"users_bulk_summary_placeholder","Your action summary will appear here.","Le resume de l'action s'affichera ici.","ok"
"users_bulk_title","Bulk assistant","Assistant en lot","ok"
"users_bulk_valid_prefix","Valid","Valide","ok"
"users_clear_expiry","Clear expiry","Supprimer l'expiration","ok"
"users_close","Close","Fermer","ok"
"users_col_expiry","Expiry","Expiration","ok"
"users_col_group","Group","Groupe","ok"
"users_col_invite","Invite","Invitation","ok"
"users_delete_confirm","Delete permanently","Supprimer definitivement","ok"
"users_delete_confirm_template","User ""{username}"" will be deleted from AD, Jellyfin, and the local database. This action is irreversible.","L'utilisateur ""{username}"" sera supprime d'AD, de Jellyfin et de la base locale. Cette action est irreversible.","ok"
"users_delete_confirm_title","Confirm deletion","Confirmer la suppression","ok"
"users_delete_error","Unable to delete this user.","Impossible de supprimer cet utilisateur.","ok"
"users_delete_title","Delete user","Supprimer l'utilisateur","ok"
"users_deleted","User deleted","Utilisateur supprime","ok"
"users_displayed_count","displayed /","affiches /","ok"
"users_edit","Edit","Modifier","ok"
"users_edit_title","Edit account","Modifier le compte","ok"
"users_filter_expiry_active","With expiry date","Avec date d'expiration","ok"
"users_filter_expiry_expired","Already expired","Deja expire","ok"
"users_filter_expiry_none","No expiry date","Sans date d'expiration","ok"
"users_filter_extra_all","Any extra signal","Tous les signaux","ok"
"users_filter_invite_all","Any invite state","Tous les etats d'invitation","ok"
"users_filter_invite_disabled","Invite disabled","Invitation desactivee","ok"
"users_filter_invite_enabled","Invite enabled","Invitation active","ok"
"users_filter_jellyfin_all","Any Jellyfin state","Tous les etats Jellyfin","ok"
"users_filter_jellyfin_disabled","Jellyfin disabled","Jellyfin desactive","ok"
"users_filter_jellyfin_missing","Missing in Jellyfin","Absent de Jellyfin","ok"
"users_filter_jellyfin_ok","Healthy in Jellyfin","Jellyfin OK","ok"
"users_filter_status_all","Any account status","Tous les statuts","ok"
"users_filter_with_email","Has email address","Avec e-mail","ok"
"users_filter_without_email","No email address","Sans e-mail","ok"
"users_filters_clear","Clear filters","Reinitialiser les filtres","ok"
"users_filters_desc","Combine search, state, Jellyfin sync, invitation rights, and expiry signals.","Combinez recherche, etat, synchro Jellyfin, droits d invitation et signaux d expiration.","ok"
"users_filters_none","No active filters.","Aucun filtre actif.","ok"
"users_filters_title","Find the right accounts","Trouver les bons comptes","ok"
"users_heading","User Management","Gestion des utilisateurs","ok"
"users_jellyfin_disabled","Jellyfin disabled","Jellyfin disabled","untranslated"
"users_jellyfin_missing","Jellyfin missing","Jellyfin missing","untranslated"
"users_jf_bitrate_placeholder","Remote bitrate limit (kbps)","Debit distant max (kbps)","ok"
"users_jf_download_allowed","Downloads allowed","Telechargement autorise","ok"
"users_jf_download_blocked","Downloads blocked","Telechargement bloque","ok"
"users_jf_download_unchanged","Keep current download policy","Telechargement inchange","ok"
"users_jf_remote_allowed","Remote access allowed","Acces distant autorise","ok"
"users_jf_remote_blocked","Remote access blocked","Acces distant bloque","ok"
"users_jf_remote_unchanged","Keep current remote policy","Acces distant inchange","ok"
"users_jf_sessions_placeholder","Max active sessions","Sessions simultanees max","ok"
"users_live_filters_desc","See the active constraints before applying a bulk action.","Verifiez les contraintes actives avant d'appliquer une action en lot.","ok"
"users_live_filters_title","Filter snapshot","Resume des filtres","ok"
"users_load_error","Unable to load users","Impossible de charger les utilisateurs","ok"
"users_load_error_details","The users list could not be loaded.","La liste des utilisateurs n'a pas pu etre chargee.","ok"
"users_no","No","No","untranslated"
"users_no_filter_match","No account matches the current filters.","Aucun compte ne correspond aux filtres actuels.","ok"
"users_no_local","No local accounts found yet.","Aucun compte local trouve pour le moment.","ok"
"users_overview_expiring","Expired access","Acces expires","ok"
"users_overview_filtered","Visible now","Visibles maintenant","ok"
"users_overview_inviters","Can invite","Peuvent inviter","ok"
"users_overview_total","Total accounts","Comptes totaux","ok"
"users_reset","Reset","Reset","untranslated"
"users_reset_error","Unable to send the password reset message.","Impossible d'envoyer le lien de reinitialisation.","ok"
"users_reset_sent","Password reset link sent to {username}","Password reset link sent to {username}","untranslated"
"users_search_placeholder","Search...","Rechercher...","ok"
"users_segment_access","Access policy","Politique d acces","ok"
"users_segment_accounts","Account state","Etat du compte","ok"
"users_segment_delivery","Communication","Communication","untranslated"
"users_select_filtered","Select filtered","Select filtered","untranslated"
"users_selection_clear","Clear selection","Vider la selection","ok"
"users_selection_desc","Review the exact accounts that will be affected next.","Verifiez exactement quels comptes seront touches ensuite.","ok"
"users_selection_empty","No users selected yet.","Aucun utilisateur selectionne.","ok"
"users_selection_more","+{count} more","+{count} autres","ok"
"users_selection_title","Selection snapshot","Resume de la selection","ok"
"users_subheading","Manage accounts, enable or delete users","Gerez les comptes, activez ou supprimez les utilisateurs","ok"
"users_subheading_extended","Manage local accounts, Jellyfin sync state, invitation rights, and expiry rules from one control room.","Gere les comptes locaux, l'etat de synchronisation Jellyfin, les droits d'invitation et les regles d'expiration depuis un seul ecran.","ok"
"users_sync_confirm","Launch a synchronization against Jellyfin now?","Lancer la synchronisation avec Jellyfin maintenant ?","ok"
"users_sync_done","Jellyfin sync completed","Synchronisation Jellyfin terminee","ok"
"users_sync_error","Jellyfin sync failed","Echec de la synchronisation Jellyfin","ok"
"users_sync_jellyfin","Sync Jellyfin","Synchroniser Jellyfin","ok"
"users_sync_jellyfin_title","Refresh local data from Jellyfin","Rafraichir les donnees locales depuis Jellyfin","ok"
"users_sync_network_error","Network error during Jellyfin synchronization","Erreur reseau pendant la synchronisation Jellyfin","ok"
"users_table_desc","Inspect each local account, then edit, reset, trace, enable, or delete in one click.","Inspectez chaque compte local puis modifiez, reinitialisez, tracez, activez ou supprimez en un clic.","ok"
"users_table_title","Accounts list","Liste des comptes","ok"
"users_timeline_critical","Critical","Critique","ok"
"users_timeline_empty","No timeline events found for this user.","Aucun evenement de timeline pour cet utilisateur.","ok"
"users_timeline_important","Important","Important","untranslated"
"users_timeline_info","Info","Information","ok"
"users_timeline_load_error","Unable to load the user timeline.","Impossible de charger la timeline utilisateur.","ok"
"users_timeline_subtitle","{username} ({email})","{username} ({email})","untranslated"
"users_timeline_title","User timeline","Timeline utilisateur","ok"
"users_timeline_trace","Trace","Trace","untranslated"
"users_title","Users","Utilisateurs","ok"
"users_toggle_error","Unable to update the account status.","Impossible de mettre a jour le statut du compte.","ok"
"users_toggle_updated","Account status updated","Statut du compte mis a jour","ok"
"users_toolbar_desc","Start with a filter, then use the bulk assistant or one-click actions on the right accounts.","Commencez par un filtre, puis utilisez l assistant en lot ou les actions rapides sur les bons comptes.","ok"
"users_toolbar_title","User operations","Operations utilisateurs","ok"
"users_update_error","Unable to save account changes.","Impossible d'enregistrer les modifications du compte.","ok"
"users_updated","Account updated","Compte mis a jour","ok"
"users_yes","Yes","Oui","ok"
"verify_email_invite_expired_heading","Verification link expired","Lien de verification expire","ok"
"verify_email_invite_expired_message","This signup confirmation link has expired. Submit the invitation form again to receive a new email.","Ce lien de confirmation d'inscription a expire. Soumettez a nouveau le formulaire d'invitation pour recevoir un nouvel email.","ok"
"verify_email_invite_failed_heading","Account creation failed","Creation du compte impossible","ok"
"verify_email_invite_failed_message","We could not finish creating your account from this invitation. Submit the invitation form again or ask for a new invitation.","Nous n'avons pas pu terminer la creation de votre compte a partir de cette invitation. Soumettez a nouveau le formulaire ou demandez une nouvelle invitation.","ok"
"verify_email_invite_success_heading","Email verified, account created","Email verifie, compte cree","ok"
"verify_email_invite_success_message","Your email address has been confirmed and your account is now ready. You can sign in to Jellyfin.","Votre adresse email a ete confirmee et votre compte est maintenant pret. Vous pouvez vous connecter a Jellyfin.","ok"
"view_all","View all","Voir tout","ok"